,mean_fit_time,std_fit_time,mean_score_time,std_score_time,embedding_dimension,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,split50_test_score,split51_test_score,split52_test_score,split53_test_score,split54_test_score,split55_test_score,split56_test_score,split57_test_score,split58_test_score,split59_test_score,split60_test_score,split61_test_score,split62_test_score,split63_test_score,split64_test_score,split65_test_score,split66_test_score,split67_test_score,split68_test_score,split69_test_score,split70_test_score,split71_test_score,split72_test_score,split73_test_score,split74_test_score,split75_test_score,split76_test_score,split77_test_score,split78_test_score,split79_test_score,split80_test_score,split81_test_score,split82_test_score,split83_test_score,split84_test_score,split85_test_score,split86_test_score,split87_test_score,split88_test_score,split89_test_score,split90_test_score,split91_test_score,split92_test_score,split93_test_score,split94_test_score,split95_test_score,split96_test_score,split97_test_score,split98_test_score,split99_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,split20_train_score,split21_train_score,split22_train_score,split23_train_score,split24_train_score,split25_train_score,split26_train_score,split27_train_score,split28_train_score,split29_train_score,split30_train_score,split31_train_score,split32_train_score,split33_train_score,split34_train_score,split35_train_score,split36_train_score,split37_train_score,split38_train_score,split39_train_score,split40_train_score,split41_train_score,split42_train_score,split43_train_score,split44_train_score,split45_train_score,split46_train_score,split47_train_score,split48_train_score,split49_train_score,split50_train_score,split51_train_score,split52_train_score,split53_train_score,split54_train_score,split55_train_score,split56_train_score,split57_train_score,split58_train_score,split59_train_score,split60_train_score,split61_train_score,split62_train_score,split63_train_score,split64_train_score,split65_train_score,split66_train_score,split67_train_score,split68_train_score,split69_train_score,split70_train_score,split71_train_score,split72_train_score,split73_train_score,split74_train_score,split75_train_score,split76_train_score,split77_train_score,split78_train_score,split79_train_score,split80_train_score,split81_train_score,split82_train_score,split83_train_score,split84_train_score,split85_train_score,split86_train_score,split87_train_score,split88_train_score,split89_train_score,split90_train_score,split91_train_score,split92_train_score,split93_train_score,split94_train_score,split95_train_score,split96_train_score,split97_train_score,split98_train_score,split99_train_score,mean_train_score,std_train_score
0,1.5181619572639464,0.18516351030068642,0.0022006821632385254,0.0007289070265220935,1,0.76,0.84,0.82,0.68,0.64,0.82,0.64,0.86,0.78,0.76,0.8,0.82,0.76,0.74,0.7,0.82,0.76,0.76,0.8,0.64,0.7,0.72,0.8,0.8,0.7,0.88,0.72,0.74,0.74,0.82,0.76,0.78,0.8,0.76,0.76,0.78,0.76,0.78,0.72,0.82,0.82,0.78,0.72,0.62,0.8,0.72,0.68,0.86,0.8,0.76,0.8,0.68,0.76,0.66,0.62,0.88,0.7,0.8,0.84,0.84,0.82,0.74,0.72,0.7,0.7,0.82,0.8,0.74,0.82,0.82,0.88,0.74,0.82,0.74,0.74,0.74,0.78,0.76,0.78,0.78,0.84,0.72,0.68,0.82,0.86,0.76,0.72,0.8,0.6,0.82,0.82,0.7,0.82,0.78,0.7,0.72,0.84,0.8,0.76,0.7,0.7638000000000001,0.06149438998803061,2,0.8222222222222222,0.8222222222222222,0.82,0.8266666666666667,0.8377777777777777,0.8333333333333334,0.8377777777777777,0.8155555555555556,0.82,0.8266666666666667,0.8244444444444444,0.8288888888888889,0.8466666666666667,0.8111111111111111,0.8355555555555556,0.8288888888888889,0.8266666666666667,0.8311111111111111,0.8377777777777777,0.8288888888888889,0.8355555555555556,0.8422222222222222,0.8311111111111111,0.8333333333333334,0.8422222222222222,0.8111111111111111,0.8444444444444444,0.8355555555555556,0.8355555555555556,0.8133333333333334,0.8333333333333334,0.8244444444444444,0.8222222222222222,0.8333333333333334,0.8266666666666667,0.8311111111111111,0.8288888888888889,0.8422222222222222,0.8355555555555556,0.8155555555555556,0.8133333333333334,0.8266666666666667,0.8333333333333334,0.8088888888888889,0.8266666666666667,0.8333333333333334,0.8488888888888889,0.8133333333333334,0.8222222222222222,0.8422222222222222,0.8311111111111111,0.8533333333333334,0.8266666666666667,0.8355555555555556,0.8244444444444444,0.8133333333333334,0.8288888888888889,0.8155555555555556,0.8222222222222222,0.8066666666666666,0.82,0.8266666666666667,0.8177777777777778,0.84,0.8466666666666667,0.8244444444444444,0.8,0.8444444444444444,0.8133333333333334,0.8266666666666667,0.8244444444444444,0.8377777777777777,0.8222222222222222,0.8444444444444444,0.84,0.8288888888888889,0.84,0.8355555555555556,0.8311111111111111,0.8177777777777778,0.82,0.8311111111111111,0.8311111111111111,0.8244444444444444,0.8111111111111111,0.8311111111111111,0.8355555555555556,0.82,0.8555555555555555,0.8111111111111111,0.8288888888888889,0.8355555555555556,0.8377777777777777,0.8222222222222222,0.8377777777777777,0.8266666666666667,0.82,0.8311111111111111,0.8133333333333334,0.8355555555555556,0.8284888888888888,0.01067305364336159
1,2.684128270149231,0.27794457455436056,0.002351224422454834,0.0006669928945512356,2,0.82,0.9,0.78,0.8,0.74,0.86,0.76,0.8,0.8,0.72,0.84,0.82,0.7,0.88,0.76,0.86,0.8,0.8,0.74,0.74,0.8,0.78,0.8,0.82,0.66,0.96,0.76,0.72,0.78,0.88,0.82,0.76,0.84,0.66,0.72,0.74,0.84,0.78,0.72,0.86,0.86,0.74,0.8,0.74,0.8,0.8,0.72,0.88,0.82,0.76,0.76,0.72,0.76,0.8,0.82,0.86,0.76,0.8,0.84,0.7,0.76,0.76,0.88,0.8,0.76,0.76,0.82,0.78,0.68,0.8,0.76,0.76,0.84,0.82,0.78,0.9,0.78,0.84,0.72,0.78,0.82,0.82,0.8,0.84,0.8,0.8,0.7,0.78,0.8,0.72,0.84,0.64,0.8,0.8,0.8,0.84,0.76,0.78,0.86,0.78,0.7892000000000001,0.055671895961966304,1,0.9022222222222223,0.9,0.9022222222222223,0.9266666666666666,0.9066666666666666,0.9088888888888889,0.9066666666666666,0.8977777777777778,0.9022222222222223,0.9044444444444445,0.9066666666666666,0.9,0.9133333333333333,0.8955555555555555,0.9244444444444444,0.9022222222222223,0.9022222222222223,0.9066666666666666,0.9088888888888889,0.9177777777777778,0.9044444444444445,0.9133333333333333,0.9,0.92,0.9111111111111111,0.8755555555555555,0.8933333333333333,0.9066666666666666,0.9022222222222223,0.8955555555555555,0.8955555555555555,0.9066666666666666,0.9177777777777778,0.9,0.9155555555555556,0.9155555555555556,0.9155555555555556,0.9133333333333333,0.9111111111111111,0.9044444444444445,0.8955555555555555,0.9044444444444445,0.9244444444444444,0.9088888888888889,0.9066666666666666,0.9088888888888889,0.9111111111111111,0.9022222222222223,0.9133333333333333,0.9,0.8955555555555555,0.9,0.9066666666666666,0.8911111111111111,0.9177777777777778,0.9022222222222223,0.9133333333333333,0.9,0.9066666666666666,0.9022222222222223,0.8977777777777778,0.9222222222222223,0.9022222222222223,0.9088888888888889,0.9111111111111111,0.9088888888888889,0.9044444444444445,0.8955555555555555,0.9044444444444445,0.9111111111111111,0.9066666666666666,0.9133333333333333,0.8955555555555555,0.9133333333333333,0.9177777777777778,0.9044444444444445,0.9133333333333333,0.9066666666666666,0.9088888888888889,0.9,0.8955555555555555,0.9111111111111111,0.9044444444444445,0.8955555555555555,0.9044444444444445,0.9177777777777778,0.9088888888888889,0.9133333333333333,0.9155555555555556,0.9066666666666666,0.9088888888888889,0.9088888888888889,0.9044444444444445,0.9088888888888889,0.8955555555555555,0.9088888888888889,0.9088888888888889,0.9066666666666666,0.8977777777777778,0.9111111111111111,0.9064444444444443,0.00802772971919486
2,7.118006300926209,1.0008673289832668,0.0025725698471069335,0.0007767301126630335,3,0.76,0.84,0.76,0.82,0.62,0.84,0.82,0.84,0.78,0.78,0.82,0.84,0.76,0.76,0.7,0.82,0.68,0.84,0.76,0.64,0.78,0.76,0.66,0.72,0.7,0.82,0.7,0.74,0.86,0.8,0.76,0.74,0.78,0.82,0.7,0.68,0.76,0.78,0.7,0.8,0.76,0.7,0.76,0.72,0.76,0.74,0.64,0.88,0.84,0.76,0.68,0.68,0.76,0.7,0.74,0.82,0.8,0.7,0.82,0.72,0.78,0.74,0.76,0.76,0.72,0.78,0.8,0.72,0.74,0.72,0.7,0.74,0.82,0.8,0.76,0.82,0.7,0.78,0.74,0.76,0.88,0.74,0.74,0.8,0.86,0.74,0.74,0.66,0.7,0.68,0.8,0.64,0.78,0.86,0.78,0.78,0.78,0.72,0.78,0.78,0.759,0.05659505278732409,3,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,1.0,0.9977777777777778,0.9977777777777778,1.0,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9982000000000001,0.0008717797887081403
3,8.459963579177856,0.8086989904101995,0.002461388111114502,0.0007266878718538524,4,0.64,0.74,0.62,0.78,0.72,0.84,0.78,0.86,0.82,0.7,0.74,0.78,0.64,0.84,0.64,0.84,0.62,0.82,0.74,0.6,0.64,0.8,0.7,0.68,0.76,0.86,0.56,0.66,0.74,0.74,0.72,0.78,0.74,0.78,0.64,0.76,0.72,0.74,0.64,0.8,0.7,0.72,0.76,0.72,0.8,0.66,0.68,0.8,0.7,0.74,0.64,0.72,0.68,0.7,0.64,0.8,0.56,0.78,0.76,0.7,0.8,0.8,0.7,0.78,0.6,0.56,0.8,0.74,0.74,0.78,0.82,0.72,0.8,0.68,0.8,0.76,0.72,0.7,0.74,0.66,0.78,0.76,0.74,0.66,0.78,0.76,0.68,0.82,0.74,0.74,0.74,0.66,0.76,0.86,0.72,0.8,0.7,0.72,0.76,0.8,0.7316000000000001,0.06842104939271247,4,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,1.0,0.9977777777777778,0.9977777777777778,1.0,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,1.0,0.9982000000000001,0.0008717797887081403
