,mean_fit_time,std_fit_time,mean_score_time,std_score_time,embedding_dimension,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,split50_test_score,split51_test_score,split52_test_score,split53_test_score,split54_test_score,split55_test_score,split56_test_score,split57_test_score,split58_test_score,split59_test_score,split60_test_score,split61_test_score,split62_test_score,split63_test_score,split64_test_score,split65_test_score,split66_test_score,split67_test_score,split68_test_score,split69_test_score,split70_test_score,split71_test_score,split72_test_score,split73_test_score,split74_test_score,split75_test_score,split76_test_score,split77_test_score,split78_test_score,split79_test_score,split80_test_score,split81_test_score,split82_test_score,split83_test_score,split84_test_score,split85_test_score,split86_test_score,split87_test_score,split88_test_score,split89_test_score,split90_test_score,split91_test_score,split92_test_score,split93_test_score,split94_test_score,split95_test_score,split96_test_score,split97_test_score,split98_test_score,split99_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,split20_train_score,split21_train_score,split22_train_score,split23_train_score,split24_train_score,split25_train_score,split26_train_score,split27_train_score,split28_train_score,split29_train_score,split30_train_score,split31_train_score,split32_train_score,split33_train_score,split34_train_score,split35_train_score,split36_train_score,split37_train_score,split38_train_score,split39_train_score,split40_train_score,split41_train_score,split42_train_score,split43_train_score,split44_train_score,split45_train_score,split46_train_score,split47_train_score,split48_train_score,split49_train_score,split50_train_score,split51_train_score,split52_train_score,split53_train_score,split54_train_score,split55_train_score,split56_train_score,split57_train_score,split58_train_score,split59_train_score,split60_train_score,split61_train_score,split62_train_score,split63_train_score,split64_train_score,split65_train_score,split66_train_score,split67_train_score,split68_train_score,split69_train_score,split70_train_score,split71_train_score,split72_train_score,split73_train_score,split74_train_score,split75_train_score,split76_train_score,split77_train_score,split78_train_score,split79_train_score,split80_train_score,split81_train_score,split82_train_score,split83_train_score,split84_train_score,split85_train_score,split86_train_score,split87_train_score,split88_train_score,split89_train_score,split90_train_score,split91_train_score,split92_train_score,split93_train_score,split94_train_score,split95_train_score,split96_train_score,split97_train_score,split98_train_score,split99_train_score,mean_train_score,std_train_score
0,1.5989857935905456,0.23090606199238067,0.002186133861541748,0.0006700120048221354,1,0.74,0.78,0.62,0.7,0.82,0.62,0.64,0.68,0.7,0.56,0.68,0.7,0.78,0.74,0.48,0.66,0.72,0.64,0.66,0.68,0.66,0.74,0.68,0.72,0.74,0.62,0.72,0.68,0.7,0.68,0.56,0.8,0.66,0.74,0.68,0.66,0.58,0.68,0.64,0.68,0.66,0.74,0.6,0.74,0.64,0.68,0.66,0.62,0.72,0.7,0.76,0.68,0.64,0.74,0.66,0.72,0.7,0.68,0.76,0.64,0.62,0.66,0.68,0.64,0.66,0.68,0.8,0.62,0.56,0.72,0.68,0.6,0.74,0.68,0.74,0.68,0.72,0.68,0.7,0.66,0.74,0.74,0.6,0.68,0.78,0.72,0.68,0.7,0.76,0.68,0.76,0.72,0.78,0.78,0.72,0.68,0.76,0.64,0.68,0.6,0.6868000000000001,0.058802721025476366,4,0.7711111111111111,0.7888888888888889,0.7866666666666666,0.7866666666666666,0.78,0.7822222222222223,0.7888888888888889,0.7777777777777778,0.7777777777777778,0.7822222222222223,0.7711111111111111,0.7666666666666667,0.7755555555555556,0.7777777777777778,0.78,0.7844444444444445,0.7866666666666666,0.7844444444444445,0.7577777777777778,0.7822222222222223,0.7844444444444445,0.7844444444444445,0.7866666666666666,0.7977777777777778,0.8044444444444444,0.7688888888888888,0.7666666666666667,0.7933333333333333,0.7777777777777778,0.7733333333333333,0.7822222222222223,0.7711111111111111,0.7822222222222223,0.7955555555555556,0.7866666666666666,0.7688888888888888,0.7866666666666666,0.7844444444444445,0.78,0.7955555555555556,0.7866666666666666,0.7844444444444445,0.8111111111111111,0.7777777777777778,0.7711111111111111,0.78,0.7866666666666666,0.8,0.7711111111111111,0.7844444444444445,0.7711111111111111,0.78,0.7933333333333333,0.7866666666666666,0.7888888888888889,0.7822222222222223,0.7866666666666666,0.7777777777777778,0.78,0.7755555555555556,0.7955555555555556,0.8044444444444444,0.7644444444444445,0.8,0.7911111111111111,0.78,0.7866666666666666,0.8066666666666666,0.7866666666666666,0.7888888888888889,0.7933333333333333,0.76,0.7822222222222223,0.7844444444444445,0.7733333333333333,0.78,0.78,0.7955555555555556,0.78,0.7644444444444445,0.7711111111111111,0.8066666666666666,0.7755555555555556,0.7822222222222223,0.7711111111111111,0.7933333333333333,0.8044444444444444,0.7866666666666666,0.7711111111111111,0.7822222222222223,0.7911111111111111,0.7733333333333333,0.78,0.7777777777777778,0.7777777777777778,0.7888888888888889,0.7755555555555556,0.8088888888888889,0.7888888888888889,0.8066666666666666,0.7834666666666666,0.010847176340776487
1,2.152424244880676,0.26417412194239454,0.002441456317901611,0.0006904369846403966,2,0.88,0.8,0.74,0.8,0.7,0.78,0.76,0.82,0.82,0.82,0.82,0.8,0.84,0.78,0.68,0.74,0.76,0.8,0.9,0.76,0.88,0.78,0.72,0.8,0.74,0.74,0.8,0.84,0.74,0.86,0.78,0.86,0.76,0.76,0.8,0.9,0.72,0.78,0.84,0.8,0.74,0.86,0.88,0.8,0.84,0.7,0.8,0.68,0.92,0.78,0.78,0.82,0.82,0.84,0.8,0.82,0.76,0.72,0.88,0.72,0.76,0.82,0.82,0.76,0.86,0.82,0.88,0.7,0.74,0.76,0.72,0.92,0.8,0.78,0.78,0.78,0.76,0.74,0.82,0.76,0.88,0.82,0.72,0.78,0.82,0.8,0.8,0.76,0.84,0.72,0.84,0.76,0.82,0.78,0.78,0.86,0.8,0.78,0.68,0.76,0.7924000000000001,0.05394664030317366,1,0.88,0.8955555555555555,0.8866666666666667,0.8888888888888888,0.9022222222222223,0.9,0.8977777777777778,0.8733333333333333,0.8822222222222222,0.8933333333333333,0.8911111111111111,0.8844444444444445,0.8888888888888888,0.8933333333333333,0.9066666666666666,0.88,0.8955555555555555,0.88,0.8955555555555555,0.8866666666666667,0.8866666666666667,0.8955555555555555,0.9044444444444445,0.9,0.8844444444444445,0.8977777777777778,0.8844444444444445,0.8844444444444445,0.8911111111111111,0.8733333333333333,0.8822222222222222,0.8777777777777778,0.8822222222222222,0.9,0.9,0.8777777777777778,0.9044444444444445,0.9,0.8977777777777778,0.8844444444444445,0.8888888888888888,0.9066666666666666,0.8755555555555555,0.88,0.8888888888888888,0.8955555555555555,0.8888888888888888,0.8955555555555555,0.88,0.9133333333333333,0.8888888888888888,0.8822222222222222,0.9,0.8822222222222222,0.8888888888888888,0.8911111111111111,0.8911111111111111,0.8955555555555555,0.88,0.8977777777777778,0.8911111111111111,0.8844444444444445,0.8755555555555555,0.8866666666666667,0.9,0.88,0.8888888888888888,0.9088888888888889,0.8777777777777778,0.8866666666666667,0.8888888888888888,0.8977777777777778,0.8977777777777778,0.9088888888888889,0.8822222222222222,0.8822222222222222,0.9133333333333333,0.9066666666666666,0.88,0.8711111111111111,0.8844444444444445,0.8888888888888888,0.9,0.8888888888888888,0.8888888888888888,0.8622222222222222,0.9088888888888889,0.9,0.8688888888888889,0.8933333333333333,0.8933333333333333,0.8977777777777778,0.8933333333333333,0.8777777777777778,0.88,0.8911111111111111,0.9,0.8933333333333333,0.9022222222222223,0.8955555555555555,0.8904000000000001,0.010095250074865609
2,7.855534887313842,1.046467593816856,0.002608647346496582,0.0007553752546969634,3,0.68,0.8,0.72,0.7,0.68,0.66,0.66,0.78,0.7,0.76,0.76,0.76,0.76,0.74,0.68,0.7,0.76,0.8,0.66,0.7,0.82,0.76,0.66,0.68,0.7,0.74,0.64,0.8,0.78,0.76,0.68,0.8,0.74,0.66,0.68,0.8,0.72,0.76,0.76,0.72,0.76,0.72,0.72,0.74,0.68,0.68,0.78,0.62,0.84,0.76,0.82,0.8,0.76,0.74,0.82,0.74,0.8,0.68,0.74,0.7,0.74,0.82,0.78,0.72,0.8,0.78,0.78,0.76,0.68,0.76,0.74,0.74,0.78,0.76,0.76,0.64,0.62,0.72,0.72,0.82,0.8,0.72,0.7,0.78,0.78,0.84,0.68,0.68,0.86,0.6,0.72,0.66,0.78,0.68,0.8,0.78,0.76,0.82,0.68,0.62,0.7368000000000001,0.05647796030311292,2,0.9422222222222222,1.0,1.0,1.0,0.9577777777777777,1.0,1.0,0.9533333333333334,1.0,1.0,0.9533333333333334,0.9622222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9422222222222222,1.0,1.0,1.0,1.0,0.96,1.0,0.9711111111111111,0.9666666666666667,1.0,1.0,0.9488888888888889,1.0,0.94,1.0,1.0,1.0,0.9422222222222222,1.0,0.9622222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9533333333333334,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.9622222222222222,1.0,1.0,0.9555555555555556,1.0,1.0,1.0,1.0,0.9311111111111111,0.9555555555555556,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,0.9688888888888889,1.0,0.96,0.9444444444444444,1.0,1.0,0.94,1.0,1.0,1.0,0.9876444444444445,0.02155285206414144
3,8.743835458755493,0.8488927769970073,0.0025829267501831055,0.0008185971115009495,4,0.76,0.8,0.82,0.62,0.76,0.64,0.6,0.72,0.6,0.68,0.68,0.72,0.8,0.72,0.74,0.7,0.76,0.68,0.64,0.78,0.7,0.82,0.76,0.62,0.74,0.6,0.74,0.8,0.64,0.78,0.64,0.7,0.72,0.66,0.68,0.78,0.72,0.72,0.9,0.74,0.7,0.7,0.64,0.66,0.76,0.62,0.84,0.7,0.76,0.68,0.82,0.68,0.66,0.72,0.78,0.66,0.58,0.62,0.74,0.66,0.7,0.72,0.72,0.66,0.7,0.86,0.68,0.76,0.72,0.66,0.6,0.8,0.8,0.74,0.6,0.64,0.4,0.8,0.78,0.76,0.7,0.72,0.62,0.82,0.72,0.9,0.68,0.66,0.68,0.64,0.74,0.78,0.78,0.82,0.66,0.76,0.72,0.82,0.68,0.7,0.7136,0.07594102975335533,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
