,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,2.78567212281511e-30,2.507104910533599e-29,16.40018992858349,2.325186637649091,0.05,0.005555555555555556,0,1-2
1,True,4.956258873046009e-17,3.965007098436807e-16,10.01963218467495,1.4205637234334887,0.05,0.005555555555555556,1,2-3
2,True,4.0125316482779144e-14,2.4075189889667485e-13,8.684507190879266,1.2312723305481879,0.05,0.005555555555555556,2,3-4
3,True,1.0020133921460293e-14,7.014093745022205e-14,8.962002005137116,1.2706149989525775,0.05,0.005555555555555556,3,4-5
4,True,1.2027507622594217e-07,4.811003049037687e-07,5.548795490745836,0.7866972996235363,0.05,0.005555555555555556,4,5-6
5,True,1.296629170666613e-09,6.483145853333065e-09,6.549974193428779,0.9286424448635889,0.05,0.005555555555555556,5,6-7
6,True,7.928895216181527e-05,0.00023786685648544581,3.928012577530662,0.5569058893564119,0.05,0.005555555555555556,6,7-8
7,False,0.9999993964119903,1.0,-5.172561741300507,-0.7333556193959065,0.05,0.005555555555555556,7,8-9
8,False,0.9999999997233108,1.0,-6.8779648642297735,-0.9751443163870916,0.05,0.005555555555555556,8,9-10
