,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,1.1722993247118508e-58,1.0550693922406657e-57,35.70934318727014,5.062800368766074,0.05,0.005555555555555556,0,1-2
1,True,1.1732163172496727e-55,9.385730537997381e-55,33.11028592529326,4.694311147461339,0.05,0.005555555555555556,1,2-3
2,True,1.4191940592412488e-44,8.515164355447493e-44,24.804246136626308,3.5166971800322324,0.05,0.005555555555555556,2,3-4
3,True,5.601000152932608e-45,3.9207001070528257e-44,25.075312684950323,3.5551284615491716,0.05,0.005555555555555556,3,4-5
4,True,1.0625488212564884e-30,4.250195285025954e-30,16.618517914634193,2.3561407496441693,0.05,0.005555555555555556,4,5-6
5,True,2.8188754619859786e-19,8.456626385957935e-19,11.051842450625816,1.5669084626154492,0.05,0.005555555555555556,5,6-7
6,True,4.0245657364683487e-38,2.0122828682341745e-37,20.74483228117604,2.9411614762090883,0.05,0.005555555555555556,6,7-8
7,False,0.9999999717713796,1.0,-5.876848917563902,-0.8332080685715788,0.05,0.005555555555555556,7,8-9
8,False,0.9999975656558941,1.0,-4.835675828341673,-0.6855925979531571,0.05,0.005555555555555556,8,9-10
