,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,8.543460710319504e-71,7.689114639287553e-70,48.135118795301224,6.82450236929378,0.05,0.005555555555555556,0,1-2
1,True,1.0267744887465004e-64,8.214195909972003e-64,41.498020221602154,5.883507601335148,0.05,0.005555555555555556,1,2-3
2,True,1.3709042328563865e-55,9.596329629994705e-55,33.053593394186514,4.686273392023265,0.05,0.005555555555555556,2,3-4
3,True,1.4665134515078369e-55,9.596329629994705e-55,33.02907442031047,4.6827971401826645,0.05,0.005555555555555556,3,4-5
4,True,2.814108962796669e-49,1.4070544813983345e-48,28.100370659460857,3.984015225121747,0.05,0.005555555555555556,4,5-6
5,True,5.740953796318829e-46,2.2963815185275317e-45,25.748623996389696,3.6505892135986473,0.05,0.005555555555555556,5,6-7
6,True,9.208998429713836e-37,2.762699528914151e-36,19.949508296810915,2.828402007623632,0.05,0.005555555555555556,6,7-8
7,False,0.9999999997499871,1.0,-6.899311919822792,-0.978170859898733,0.05,0.005555555555555556,7,8-9
8,False,0.9999880731983118,1.0,-4.435280904154752,-0.6288253939417362,0.05,0.005555555555555556,8,9-10
