,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,3.5474430394355057e-56,3.1926987354919553e-55,33.54846529208095,4.756435355350697,0.05,0.005555555555555556,0,1-2
1,True,1.0263109488900577e-53,8.210487591120462e-53,31.51419527909518,4.468020558195156,0.05,0.005555555555555556,1,2-3
2,True,7.718764730810861e-44,5.403135311567603e-43,24.31594466810624,3.4474667592449437,0.05,0.005555555555555556,2,3-4
3,True,2.5696190901079106e-35,1.5417714540647463e-34,19.124349164359646,2.711412570485112,0.05,0.005555555555555556,3,4-5
4,True,5.118354644169258e-31,2.559177322084629e-30,16.784895941961366,2.3797294987759896,0.05,0.005555555555555556,4,5-6
5,True,7.220887673749502e-27,2.888355069499801e-26,14.667646959854492,2.079550106756214,0.05,0.005555555555555556,5,6-7
6,True,8.224542932651541e-11,2.4673628797954625e-10,7.132113627695967,1.0111770276764098,0.05,0.005555555555555556,6,7-8
7,False,0.9996423153831001,1.0,-3.4930820811592014,-0.4952422999179479,0.05,0.005555555555555556,7,8-9
8,False,0.9243961543159669,1.0,-1.446457306275891,-0.20507586894593313,0.05,0.005555555555555556,8,9-10
