,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,1.0169563734075937e-31,9.152607360668345e-31,17.155882174620302,2.4323271964055095,0.05,0.005555555555555556,0,1-2
1,True,6.993151389769105e-16,5.594521111815284e-15,9.492749546301548,1.3458633403470748,0.05,0.005555555555555556,1,2-3
2,True,1.5206171742483807e-11,1.0644320219738666e-10,7.4815477130054076,1.0607191042888617,0.05,0.005555555555555556,2,3-4
3,True,1.344445387739359e-05,6.722226938696795e-05,4.404264895732425,0.6244280053352107,0.05,0.005555555555555556,3,4-5
4,True,6.533875352305347e-05,0.0002613550140922139,3.9816354451135827,0.5645084339439552,0.05,0.005555555555555556,4,5-6
5,True,8.617264113887672e-06,5.1703584683326036e-05,4.518811498767608,0.640668197182093,0.05,0.005555555555555556,5,6-7
6,False,0.09860345894973538,0.29581037684920614,1.2982815853506555,0.1840678069771571,0.05,0.005555555555555556,6,7-8
7,False,0.999893293774564,1.0,-3.8448061325340754,-0.5451090434104299,0.05,0.005555555555555556,7,8-9
8,False,0.9965055432588829,1.0,-2.7548609159595707,-0.3905787566037162,0.05,0.005555555555555556,8,9-10
