,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,1.9957430394226907e-41,1.7961687354804217e-40,22.762053590284797,3.2271591416962346,0.05,0.005555555555555556,0,1-2
1,True,2.7833134982950986e-35,2.226650798636079e-34,19.10479829217278,2.7086406863202797,0.05,0.005555555555555556,1,2-3
2,True,3.0934851042490767e-25,1.856091062549446e-24,13.866561430188312,1.9659737776219128,0.05,0.005555555555555556,2,3-4
3,True,1.3817151486281845e-27,9.672006040397292e-27,15.025445015134913,2.130278010563284,0.05,0.005555555555555556,3,4-5
4,True,5.398501660842325e-10,2.6992508304211627e-09,6.736691284512309,0.9551148264090892,0.05,0.005555555555555556,4,5-6
5,True,1.9065388762606414e-09,7.626155505042566e-09,6.467232238317609,0.9169114533790245,0.05,0.005555555555555556,5,6-7
6,False,0.06517068346573257,0.1955120503971977,1.5254256776618493,0.2162718491597672,0.05,0.005555555555555556,6,7-8
7,False,0.9999999988613926,1.0,-6.577783145724912,-0.9325851433669333,0.05,0.005555555555555556,7,8-9
8,False,0.9999188483716801,1.0,-3.92154715753068,-0.5559892348386161,0.05,0.005555555555555556,8,9-10
