,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,3.01883967598331e-45,2.716955708384979e-44,25.256707655330402,3.58084628330009,0.05,0.005555555555555556,0,1-2
1,True,9.460576078677971e-23,7.5684608629423765e-22,12.674513126075192,1.7969675160953131,0.05,0.005555555555555556,1,2-3
2,True,2.295194785849815e-21,1.6066363500948705e-20,12.022610768533674,1.7045420833772666,0.05,0.005555555555555556,2,3-4
3,True,1.6892719464628008e-07,6.757087785851203e-07,5.470623727512069,0.7756142609450737,0.05,0.005555555555555556,3,4-5
4,True,8.058224027854351e-08,4.029112013927176e-07,5.640304093095483,0.7996712090928714,0.05,0.005555555555555556,4,5-6
5,True,6.228279753144858e-09,3.736967851886915e-08,6.210655681932408,0.8805345343897444,0.05,0.005555555555555556,5,6-7
6,True,0.0002103159774796619,0.0006309479324389857,3.6502128252381065,0.5175199874378561,0.05,0.005555555555555556,6,7-8
7,False,0.9998501546198583,1.0,-3.748249463244303,-0.5314194289494909,0.05,0.005555555555555556,7,8-9
8,False,0.9997858761539978,1.0,-3.6449762411624564,-0.5167775548579501,0.05,0.005555555555555556,8,9-10
