,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,4.1906872608976045e-61,3.7716185348078443e-60,37.95627269468554,5.381365610335381,0.05,0.005555555555555556,0,1-2
1,True,2.7737680210124936e-46,2.219014416809995e-45,25.966429236729493,3.6814692117360703,0.05,0.005555555555555556,1,2-3
2,True,2.5165568061359633e-40,1.7615897642951744e-39,22.07640699143881,3.1299495168852656,0.05,0.005555555555555556,2,3-4
3,True,2.593413164846905e-40,1.7615897642951744e-39,22.06835304577315,3.1288076443262467,0.05,0.005555555555555556,3,4-5
4,True,5.331239015683165e-36,2.6656195078415827e-35,19.5116439177797,2.766322458078206,0.05,0.005555555555555556,4,5-6
5,True,2.126874656738043e-24,8.507498626952171e-24,13.461468822052701,1.9085405452295428,0.05,0.005555555555555556,5,6-7
6,True,1.8119792321652426e-22,5.435937696495728e-22,12.541019104853078,1.778040996603565,0.05,0.005555555555555556,6,7-8
7,False,0.9994199036845711,1.0,-3.345826766736251,-0.4743647313708723,0.05,0.005555555555555556,7,8-9
8,False,0.998766276036696,1.0,-3.10687622654477,-0.44048679425357623,0.05,0.005555555555555556,8,9-10
