,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,1.1044074083245292e-30,9.939666674920764e-30,16.609738980481712,2.354896089644923,0.05,0.005555555555555556,0,1-2
1,True,1.4150050712205013e-14,9.905035498543509e-14,8.893050457111146,1.260839184232543,0.05,0.005555555555555556,1,2-3
2,True,3.8130426161633056e-18,3.0504340929306444e-17,10.53082969303559,1.4930402996692331,0.05,0.005555555555555556,2,3-4
3,True,3.1887622510819375e-10,1.9132573506491627e-09,6.848049677216534,0.9709030000725333,0.05,0.005555555555555556,3,4-5
4,False,0.1361754744787714,0.4085264234363142,1.1038108553596733,0.15649612977354124,0.05,0.005555555555555556,4,5-6
5,True,0.00011536663285972051,0.00046146653143888205,3.822752205342614,0.5419822810353248,0.05,0.005555555555555556,5,6-7
6,True,3.0952048373048477e-06,1.547602418652424e-05,4.776383615240895,0.677186264720498,0.05,0.005555555555555556,6,7-8
7,False,0.9999999999947361,1.0,-7.699062063348799,-1.0915578606153293,0.05,0.005555555555555556,7,8-9
8,False,0.9974364779973103,1.0,-2.8626962963065727,-0.405867444511632,0.05,0.005555555555555556,8,9-10
