,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,1.5537471695263469e-53,1.3983724525737123e-52,31.369443377605794,4.447497918604817,0.05,0.005555555555555556,0,1-2
1,True,2.140113744038515e-36,1.712090995230812e-35,19.738509292562465,2.798486984238404,0.05,0.005555555555555556,1,2-3
2,True,6.353253979246633e-22,3.1766269896233167e-21,12.284264420681938,1.7416388230075115,0.05,0.005555555555555556,2,3-4
3,True,1.439351144135088e-25,8.636106864810527e-25,14.028401261466545,1.9889191102531936,0.05,0.005555555555555556,3,4-5
4,True,1.4323801439739422e-28,1.0026661007817596e-27,15.521463055523355,2.2006024717168695,0.05,0.005555555555555556,4,5-6
5,False,0.020744486189966684,0.06223345856990005,2.0654936792787844,0.29284162708611383,0.05,0.005555555555555556,5,6-7
6,True,1.4602056420844741e-09,5.8408225683378965e-09,6.524515047393749,0.9250328972653971,0.05,0.005555555555555556,6,7-8
7,False,0.9999998879263114,1.0,-5.564982967106401,-0.7889923281503246,0.05,0.005555555555555556,7,8-9
8,False,0.9999999961135327,1.0,-6.313343014802725,-0.8950933422624351,0.05,0.005555555555555556,8,9-10
