,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,3.969737044333164e-08,3.5727633398998476e-07,5.800434017426665,0.8223741144838447,0.05,0.005555555555555556,0,1-2
1,True,0.0009832907843498543,0.007866326274798835,3.1799948234212714,0.45085340495511317,0.05,0.005555555555555556,1,2-3
2,False,0.009661443511629352,0.06763010458140546,2.378078641767904,0.33715930761754415,0.05,0.005555555555555556,2,3-4
3,False,0.3938925027297359,1.0,0.26991822409124117,0.0382684743681584,0.05,0.005555555555555556,3,4-5
4,False,0.04175714925933863,0.25054289555603176,1.7482871031776681,0.24786870327629554,0.05,0.005555555555555556,4,5-6
5,False,0.10727332470164079,0.536366623508204,1.2491748180650621,0.17710554619799385,0.05,0.005555555555555556,5,6-7
6,False,0.91285425291008,1.0,-1.3683772108420291,-0.19400582674765585,0.05,0.005555555555555556,6,7-8
7,False,0.9994546878734996,1.0,-3.3648966103430094,-0.477068416250717,0.05,0.005555555555555556,7,8-9
8,False,0.9972144140653766,1.0,-2.8340564207049725,-0.40180693933804806,0.05,0.005555555555555556,8,9-10
