,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,3.84669321705655e-52,3.462023895350895e-51,30.26752017587315,4.291269416645904,0.05,0.005555555555555556,0,1-2
1,True,1.0954390929621935e-43,6.572634557773161e-43,24.21587404011771,3.433278942638348,0.05,0.005555555555555556,1,2-3
2,True,3.546818168250565e-45,2.4827727177753955e-44,25.209311847309383,3.5741265989567403,0.05,0.005555555555555556,2,3-4
3,True,1.9023915557115292e-47,1.5219132445692234e-46,26.780726858426522,3.7969187252651433,0.05,0.005555555555555556,3,4-5
4,True,8.842165007959725e-31,3.53686600318389e-30,16.66029187657819,2.3620633797196025,0.05,0.005555555555555556,4,5-6
5,True,3.2890631761499123e-32,1.6445315880749563e-31,17.417430479934534,2.4694090001690436,0.05,0.005555555555555556,5,6-7
6,True,2.0097996216317717e-16,6.029398864895315e-16,9.74095808014391,1.3810538575760773,0.05,0.005555555555555556,6,7-8
7,False,0.9999999999713601,1.0,-7.351004858550064,-1.0422109954107377,0.05,0.005555555555555556,7,8-9
8,False,0.9944061412866043,1.0,-2.585266024648589,-0.3665339268299732,0.05,0.005555555555555556,8,9-10
