,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,6.890263716526731e-33,5.512210973221385e-32,17.782974390351377,2.521235096066498,0.05,0.005555555555555556,0,1-2
1,True,5.410803080231993e-34,4.869722772208794e-33,18.386637827653935,2.606821309650944,0.05,0.005555555555555556,1,2-3
2,True,2.1901813448236567e-24,1.314108806894194e-23,13.455334990690183,1.9076709026958998,0.05,0.005555555555555556,2,3-4
3,True,1.373141501175187e-26,9.61199050822631e-26,14.529477338944844,2.0599606899465814,0.05,0.005555555555555556,3,4-5
4,True,1.7771000424131852e-20,8.885500212065926e-20,11.607967013276934,1.6457547081513697,0.05,0.005555555555555556,4,5-6
5,True,3.5309790471681176e-18,1.412391618867247e-17,10.546169942466488,1.495215210030043,0.05,0.005555555555555556,5,6-7
6,True,9.972315674591714e-14,2.991694702377514e-13,8.501903625358372,1.2053831565578148,0.05,0.005555555555555556,6,7-8
7,False,0.9999999999999976,1.0,-9.246670564153622,-1.310974746764423,0.05,0.005555555555555556,7,8-9
8,False,0.9999999420109709,1.0,-5.714972443110885,-0.8102575407431241,0.05,0.005555555555555556,8,9-10
