,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,5.474804968884523e-57,4.927324471996071e-56,34.24277855852896,4.854873723230431,0.05,0.005555555555555556,0,1-2
1,True,8.47107004871993e-56,6.776856038975944e-55,33.22911601326677,4.711158643369,0.05,0.005555555555555556,1,2-3
2,True,3.0077434354183826e-50,2.105420404792868e-49,28.820866558861574,4.086165715150384,0.05,0.005555555555555556,2,3-4
3,True,7.536784404358346e-36,4.522070642615008e-35,19.425997207040307,2.754179636059862,0.05,0.005555555555555556,3,4-5
4,True,7.292936614878496e-21,2.9171746459513984e-20,11.788075617333856,1.6712901514177245,0.05,0.005555555555555556,4,5-6
5,True,4.771039061879534e-19,1.43131171856386e-18,10.946376222852058,1.5519556684947302,0.05,0.005555555555555556,5,6-7
6,True,3.255377285924678e-21,1.6276886429623392e-20,11.951616270440566,1.694476623219089,0.05,0.005555555555555556,6,7-8
7,False,0.998230296654513,1.0,-2.9881292100388386,-0.42365107605502883,0.05,0.005555555555555556,7,8-9
8,False,0.9989703509200739,1.0,-3.1652413326753104,-0.4487616840853811,0.05,0.005555555555555556,8,9-10
