,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,True,7.221889590490621e-29,6.499700631441559e-28,15.672653223524117,2.222037916056852,0.05,0.005555555555555556,0,1-2
1,True,2.0039673967928687e-19,1.603173917434295e-18,11.120291724545218,1.5766130659015847,0.05,0.005555555555555556,1,2-3
2,True,2.0772293256307627e-15,1.454060527941534e-14,9.275899252932058,1.3151187327109013,0.05,0.005555555555555556,2,3-4
3,False,0.13624324061904972,0.4087297218571492,1.103496994270303,0.15645163116625316,0.05,0.005555555555555556,3,4-5
4,True,2.7600106902490446e-07,1.6560064141494269e-06,5.356686370032057,0.7594604467334567,0.05,0.005555555555555556,4,5-6
5,True,2.252381818649791e-06,1.1261909093248955e-05,4.854769545551075,0.6882996675853797,0.05,0.005555555555555556,5,6-7
6,True,0.0009292445381885397,0.003716978152754159,3.198036480804761,0.4534113156166244,0.05,0.005555555555555556,6,7-8
7,False,0.9999926046776997,1.0,-4.557803139540683,-0.6461963552400405,0.05,0.005555555555555556,7,8-9
8,False,0.6819305531498695,1.0,-0.4745696632964244,-0.06728355247930852,0.05,0.005555555555555556,8,9-10
