,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,True,1.2880893594176636e-44,1.1592804234758973e-43,24.832406189845155,3.5206896569331145,0.05,0.0055555555555555,0,1-2
1,1,True,1.6309044213853731e-24,1.3047235371082985e-23,13.517034598806816,1.9164185516539731,0.05,0.0055555555555555,1,2-3
2,2,True,7.561684346298728e-22,5.2931790424091096e-21,12.248722770994837,1.7365997978930268,0.05,0.0055555555555555,2,3-4
3,3,True,3.1122643226337208e-21,1.8673585935802327e-20,11.960744200806076,1.6957707632142782,0.05,0.0055555555555555,3,4-5
4,4,True,2.055120299312433e-10,1.0275601496562163e-09,6.94052474361511,0.984013932911849,0.05,0.0055555555555555,4,5-6
5,5,True,3.81289640833333e-08,1.5251585633333321e-07,5.809491549383557,0.8236582735312676,0.05,0.0055555555555555,5,6-7
6,6,True,3.738698763114816e-05,0.0001121609628934,4.133871563073245,0.5860921710097339,0.05,0.0055555555555555,6,7-8
7,7,False,0.9999999957188048,1.0,-6.292333335300344,-0.8921146312686627,0.05,0.0055555555555555,7,8-9
8,8,False,0.999997958496558,1.0,-4.87887072120144,-0.6917166848161492,0.05,0.0055555555555555,8,9-10
0,0,True,8.835342860622837e-47,7.951808574560553e-46,26.31176024978665,3.730429562843156,0.05,0.0055555555555555,0,1-2
1,1,True,1.2043972429139336e-26,9.635177943311468e-26,14.557626268849209,2.063951589805837,0.05,0.0055555555555555,1,2-3
2,2,True,5.140124284686859e-25,3.598086999280801e-24,13.759496974646789,1.9507943899150395,0.05,0.0055555555555555,2,3-4
3,3,True,4.18600637944803e-17,2.511603827668818e-16,10.053263119348529,1.4253318511353734,0.05,0.0055555555555555,3,4-5
4,4,True,1.3379277903089213e-11,6.689638951544606e-11,7.507870442555677,1.0644510890575298,0.05,0.0055555555555555,4,5-6
5,5,True,0.0113472086359764,0.0340416259079293,2.314707726876634,0.3281747040756078,0.05,0.0055555555555555,5,6-7
6,6,True,8.042667879048054e-07,3.2170671516192218e-06,5.104182902923006,0.723661002322221,0.05,0.0055555555555555,6,7-8
7,7,False,0.999999760232316,1.0,-5.389467716800629,-0.7641081215349282,0.05,0.0055555555555555,7,8-9
8,8,False,0.9950849770657176,1.0,-2.632649681494946,-0.3732518884037033,0.05,0.0055555555555555,8,9-10
0,0,True,2.6967116380197638e-42,2.427040474217788e-41,23.3136881287508,3.3053688004436235,0.05,0.0055555555555555,0,1-2
1,1,True,2.2560366781659094e-29,1.8048293425327275e-28,15.930990805546534,2.2586645097936837,0.05,0.0055555555555555,1,2-3
2,2,True,1.9824724500863376e-24,1.3877307150604366e-23,13.476175712618796,1.910625659217525,0.05,0.0055555555555555,2,3-4
3,3,True,2.2802159426932917e-11,1.140107971346646e-10,7.398073777388637,1.0488843340494136,0.05,0.0055555555555555,3,4-5
4,4,True,2.066375793837729e-16,1.2398254763026374e-15,9.735432592754169,1.380270464853123,0.05,0.0055555555555555,4,5-6
5,5,True,1.2908682846999692e-08,5.1634731387998777e-08,6.050626107480947,0.8578458564071385,0.05,0.0055555555555555,5,6-7
6,6,True,1.6566720572125673e-05,4.970016171637702e-05,4.349878655185912,0.6167172312318987,0.05,0.0055555555555555,6,7-8
7,7,False,0.9999730733801168,1.0,-4.2217782009907125,-0.5985554010538024,0.05,0.0055555555555555,7,8-9
8,8,False,0.9995820153596346,1.0,-3.446095566650345,-0.4885806444028928,0.05,0.0055555555555555,8,9-10
0,0,True,5.318357491380031e-41,4.786521742242027e-40,22.495214470903157,3.1893272167313365,0.05,0.0055555555555555,0,1-2
1,1,True,5.0916574391152616e-33,3.564160207380684e-32,17.854179580528562,2.531330427733524,0.05,0.0055555555555555,1,2-3
2,2,True,3.7530196556049903e-35,3.002415724483992e-34,19.03174363742728,2.69828314120818,0.05,0.0055555555555555,2,3-4
3,3,True,3.0494360221816666e-21,1.8296616133089998e-20,11.96488529991367,1.6963578800923198,0.05,0.0055555555555555,3,4-5
4,4,True,8.756454061962705e-08,4.378227030981352e-07,5.62137446199353,0.7969874032658928,0.05,0.0055555555555555,4,5-6
5,5,True,1.1050952717626345e-06,4.420381087050537e-06,5.027927335336446,0.7128496380898109,0.05,0.0055555555555555,5,6-7
6,6,False,0.3836978057786768,1.0,0.2965969141046923,0.0420509265104438,0.05,0.0055555555555555,6,7-8
7,7,False,0.999999557921908,1.0,-5.246226031418347,-0.7437995974107819,0.05,0.0055555555555555,7,8-9
8,8,False,0.9999881349123436,1.0,-4.43662138178148,-0.6290154442203798,0.05,0.0055555555555555,8,9-10
0,0,True,1.0273252469514743e-39,9.24592722256327e-39,21.70189574865364,3.07685205026046,0.05,0.0055555555555555,0,1-2
1,1,True,6.182301884234889e-21,3.7093811305409335e-20,11.82153936786582,1.676034576081181,0.05,0.0055555555555555,1,2-3
2,2,True,1.2101365806543473e-21,8.47095606458043e-21,12.152854962889052,1.7230078488144511,0.05,0.0055555555555555,2,3-4
3,3,True,3.200641731135194e-23,2.560513384908156e-22,12.897926704202916,1.8286426533220208,0.05,0.0055555555555555,3,4-5
