,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
1,1,False,0.9233009563553138,1.0,-1.4386699040176965,-0.203971786386426,0.05,0.025,1,2-3
0,0,False,0.9999410041519924,1.0,-4.009750555227852,-0.568494538899959,0.05,0.025,0,1-2
1,1,False,0.8306025393311183,1.0,-0.9611969780225172,-0.1362766150379382,0.05,0.025,1,2-3
0,0,False,0.580014495594647,1.0,-0.2024620587285867,-0.0287046720578617,0.05,0.025,0,1-2
1,1,False,0.9995142876728622,1.0,-3.4003981255963325,-0.4821017511842017,0.05,0.025,1,2-3
0,0,False,0.9999952096685834,1.0,-4.667502416798134,-0.6617493027820827,0.05,0.025,0,1-2
1,1,False,0.9963080465175166,1.0,-2.735419651231506,-0.3878224123685858,0.05,0.025,1,2-3
0,0,False,0.9999999971969652,1.0,-6.384126790648465,-0.9051289266352728,0.05,0.025,0,1-2
1,1,False,0.9970448736014504,1.0,-2.8135661867533885,-0.3989018743117284,0.05,0.025,1,2-3
0,0,False,0.9999982773253198,1.0,-4.920352247971298,-0.6975978540083702,0.05,0.025,0,1-2
1,1,False,0.9999991668113364,1.0,-5.0957340713227,-0.7224631436128812,0.05,0.025,1,2-3
0,0,False,0.99995625150316,1.0,-4.091377290365727,-0.5800674166924726,0.05,0.025,0,1-2
1,1,False,0.8768624137704872,1.0,-1.166349564962062,-0.1653627448881535,0.05,0.025,1,2-3
0,0,True,0.0015450282568662,0.0030900565137324,3.0331891639053192,0.4300395875954237,0.05,0.025,0,1-2
1,1,False,0.9999995319238344,0.9999995319238344,-5.232747690151485,-0.7418886647235476,0.05,0.025,1,2-3
0,0,False,0.7861352185090749,1.0,-0.7963579368790491,-0.1129060603371253,0.05,0.025,0,1-2
1,1,False,0.9999997018700062,1.0,-5.338679782265165,-0.7569075081731378,0.05,0.025,1,2-3
0,0,False,0.9999970160469392,1.0,-4.785446412565168,-0.6784711702813413,0.05,0.025,0,1-2
1,1,False,0.9999895880708368,1.0,-4.470301569525672,-0.6337905549256417,0.05,0.025,1,2-3
0,0,False,0.9999994728004372,1.0,-5.204635593233464,-0.7379029869725751,0.05,0.025,0,1-2
1,1,False,0.9813423513006556,1.0,-2.11072774317419,-0.2992548236036036,0.05,0.025,1,2-3
0,0,False,0.972383980771241,1.0,-1.9399443651514567,-0.2750414925238866,0.05,0.025,0,1-2
1,1,False,0.9891951085497832,1.0,-2.334129320495125,-0.3309282593795534,0.05,0.025,1,2-3
0,0,False,0.3690846428534268,0.7381692857068537,0.3352188439040719,0.0475266676744667,0.05,0.025,0,1-2
