,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,False,0.999960157871494,1.0,-4.1167040357754505,-0.5836581927906929,0.05,0.025,0,1-2
1,1,False,0.9814512795389526,1.0,-2.113206739267389,-0.2996062907887881,0.05,0.025,1,2-3
0,0,False,0.9426920460396688,1.0,-1.591808465886971,-0.2256834701728826,0.05,0.025,0,1-2
1,1,False,0.9998478197656008,1.0,-3.7438144114539,-0.5307906360388458,0.05,0.025,1,2-3
0,0,False,0.9964464714847988,0.9964464714847988,-2.748943179872041,-0.3897397516326898,0.05,0.025,0,1-2
1,1,False,0.4548220768106459,0.9096441536212918,0.1137780554742849,0.0161312286868957,0.05,0.025,1,2-3
0,0,False,0.9982068602474158,1.0,-2.9837381714751388,-0.4230285232530077,0.05,0.025,0,1-2
1,1,False,0.953482510613204,1.0,-1.6959657767564962,-0.2404506886320533,0.05,0.025,1,2-3
0,0,False,0.9799118517391716,1.0,-2.0792804985867304,-0.2947962951826489,0.05,0.025,0,1-2
1,1,False,0.9698125665300378,1.0,-1.899760668359406,-0.2693443271106145,0.05,0.025,1,2-3
0,0,False,0.4211277396382135,0.842255479276427,0.1995325023840269,0.0282893253273498,0.05,0.025,0,1-2
1,1,False,0.9580179445524636,0.9580179445524636,-1.7457077899378302,-0.2475030133235755,0.05,0.025,1,2-3
0,0,False,0.9999973057055864,1.0,-4.810677812273146,-0.6820484284536947,0.05,0.025,0,1-2
1,1,False,0.9858057711948492,1.0,-2.224463079554864,-0.315379995661517,0.05,0.025,1,2-3
0,0,False,0.99553035474893,1.0,-2.667067846257027,-0.3781316280375544,0.05,0.025,0,1-2
1,1,False,0.93463324697641,1.0,-1.5238532671621456,-0.216048915895047,0.05,0.025,1,2-3
0,0,False,0.1213241310272082,0.2426482620544164,1.17541394112659,0.1666478742938595,0.05,0.025,0,1-2
1,1,False,0.9951809327408854,0.9951809327408854,-2.639819128360073,-0.3742683584642771,0.05,0.025,1,2-3
0,0,False,0.9999999978319272,1.0,-6.439557481716854,-0.912987780877152,0.05,0.025,0,1-2
