,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,False,0.9996430043392216,1.0,-3.4936609356819,-0.4953243687724661,0.05,0.025,0,1-2
1,1,False,0.9574553896952916,1.0,-1.739305554114981,-0.2465953169340098,0.05,0.025,1,2-3
0,0,False,0.999428884367198,1.0,-3.3506453312457527,-0.4750478979597309,0.05,0.025,0,1-2
1,1,False,0.9969664088154282,1.0,-2.804445018849373,-0.3976086930850155,0.05,0.025,1,2-3
0,0,False,0.9999999844972576,1.0,-6.010146376041307,-0.8521067197843954,0.05,0.025,0,1-2
1,1,False,0.9032429036908852,1.0,-1.3091494853469323,-0.1856086364407603,0.05,0.025,1,2-3
0,0,False,0.9995641536447732,1.0,-3.433402752749328,-0.4867810822389588,0.05,0.025,0,1-2
1,1,False,0.7696545174423776,1.0,-0.7405966182440928,-0.1050003303698327,0.05,0.025,1,2-3
0,0,False,0.9935199166512726,1.0,-2.5306640345197384,-0.3587925641756678,0.05,0.025,0,1-2
1,1,False,0.995384042418596,1.0,-2.6554311342178103,-0.3764817979162216,0.05,0.025,1,2-3
0,0,False,0.999999821242384,0.999999821242384,-5.457555302824326,-0.7737614454233398,0.05,0.025,0,1-2
1,1,False,0.3711051801243216,0.7422103602486433,0.3298498253685367,0.0467654587975891,0.05,0.025,1,2-3
0,0,False,0.9234077333880992,1.0,-1.4394253481723098,-0.2040788917712689,0.05,0.025,0,1-2
1,1,False,0.9653802905031924,1.0,-1.8368019440848624,-0.2604181631427533,0.05,0.025,1,2-3
0,0,False,0.9999942947432452,1.0,-4.623525952792948,-0.6555144063009327,0.05,0.025,0,1-2
1,1,False,0.93701049190463,1.0,-1.543174555157614,-0.2187882500652527,0.05,0.025,1,2-3
0,0,False,0.999971392506686,0.999971392506686,-4.205644090674083,-0.5962679386596506,0.05,0.025,0,1-2
1,1,False,0.0407431251692696,0.0814862503385393,1.7600602239100402,0.2495378731535681,0.05,0.025,1,2-3
0,0,False,0.9998382337918678,1.0,-3.726258898646868,-0.5283016499982119,0.05,0.025,0,1-2
1,1,False,0.9053828052745074,1.0,-1.3219404156755743,-0.187422109358621,0.05,0.025,1,2-3
0,0,False,0.9999999990047118,0.9999999990047118,-6.606525964975787,-0.936660243688425,0.05,0.025,0,1-2
1,1,False,0.4664434858457231,0.9328869716914464,0.0844275821534867,0.0119699763677836,0.05,0.025,1,2-3
0,0,False,0.9999999489308252,1.0,-5.7436919791790375,-0.8143293400208119,0.05,0.025,0,1-2
1,1,False,0.731588853614024,1.0,-0.6197864606620577,-0.0878721040916452,0.05,0.025,1,2-3
0,0,False,0.9999003553747065,1.0,-3.8640902781734776,-0.5478431116105223,0.05,0.025,0,1-2
1,1,False,0.5621157953563658,1.0,-0.1567407046375207,-0.0222223884958595,0.05,0.025,1,2-3
0,0,False,0.9999879552999604,1.0,-4.432738578321758,-0.6284649479907339,0.05,0.025,0,1-2
1,1,False,0.7891931421957902,1.0,-0.806977884126735,-0.1144117355482288,0.05,0.025,1,2-3
0,0,False,0.9134165659882276,1.0,-1.3719921432228668,-0.1945183447431504,0.05,0.025,0,1-2
1,1,False,0.9999997103480368,1.0,-5.345418872240416,-0.7578629630811969,0.05,0.025,1,2-3
0,0,False,0.9999938013055348,1.0,-4.602572393288298,-0.6525436518899438,0.05,0.025,0,1-2
1,1,False,0.8342722995366112,1.0,-0.9759755360338452,-0.1383718898951989,0.05,0.025,1,2-3
0,0,False,0.6456592387301716,1.0,-0.3747047500434646,-0.0531249017028889,0.05,0.025,0,1-2
1,1,False,0.9999999967611328,1.0,-6.352860571489384,-0.9006960636431317,0.05,0.025,1,2-3
0,0,False,0.9999999897866632,1.0,-6.102237567131417,-0.8651632275382911,0.05,0.025,0,1-2
1,1,False,0.595847847885397,1.0,-0.2432639046055592,-0.0344894774313168,0.05,0.025,1,2-3
0,0,False,0.9999659807193656,1.0,-4.159270425888476,-0.5896931717717147,0.05,0.025,0,1-2
1,1,False,0.9996417884293148,1.0,-3.4926400488024334,-0.4951796294407252,0.05,0.025,1,2-3
0,0,False,0.9985917532157238,1.0,-3.063692781637129,-0.4343643304586965,0.05,0.025,0,1-2
1,1,False,0.9537434899218926,1.0,-1.698718015901789,-0.2408408956791739,0.05,0.025,1,2-3
0,0,False,0.9954558472921542,1.0,-2.661099578612676,-0.3772854588018938,0.05,0.025,0,1-2
1,1,False,0.9197753040333768,1.0,-1.4141692871098122,-0.2004981371606276,0.05,0.025,1,2-3
0,0,False,0.9999017121875412,1.0,-3.867944309292717,-0.5483895285543846,0.05,0.025,0,1-2
1,1,False,0.9843302820255952,1.0,-2.183791680999496,-0.3096136848524805,0.05,0.025,1,2-3
0,0,False,0.3223369393021974,0.6446738786043948,0.4625893549793831,0.0655850079542143,0.05,0.025,0,1-2
1,1,False,0.9999797625465836,0.9999797625465836,-4.297373247215234,-0.6092731178680069,0.05,0.025,1,2-3
0,0,False,0.999999999997447,0.999999999997447,-7.846653838649702,-1.1124831319232211,0.05,0.025,0,1-2
1,1,False,0.435952000936176,0.8719040018723521,0.1616588158127793,0.0229196686149912,0.05,0.025,1,2-3
0,0,False,0.9999986600852856,1.0,-4.981391436495766,-0.7062518699769703,0.05,0.025,0,1-2
1,1,False,0.8230378367868756,1.0,-0.9313769894209812,-0.1320487957667544,0.05,0.025,1,2-3
0,0,False,0.9999999999778694,1.0,-7.4042403623414685,-1.0497586203226026,0.05,0.025,0,1-2
1,1,False,0.9980421570598236,1.0,-2.9542944226358934,-0.4188540465145409,0.05,0.025,1,2-3
0,0,False,0.999959000056375,1.0,-4.108957532456534,-0.5825599088022706,0.05,0.025,0,1-2
1,1,False,0.5566185560061946,1.0,-0.1427688764756689,-0.0202414902082826,0.05,0.025,1,2-3
0,0,False,0.377102470060393,0.7542049401207861,0.3139693595606259,0.0445139576224813,0.05,0.025,0,1-2
1,1,False,0.9999978298924964,0.9999978298924964,-4.86390054741741,-0.6895942430519083,0.05,0.025,1,2-3
0,0,False,0.9999688342799116,1.0,-4.182758568836193,-0.5930232744329063,0.05,0.025,0,1-2
1,1,False,0.9736047785403048,1.0,-1.960140557350942,-0.2779048688895341,0.05,0.025,1,2-3
0,0,False,0.999999999850952,1.0,-7.007906367150588,-0.9935671668286544,0.05,0.025,0,1-2
1,1,False,0.9617825617795154,1.0,-1.7904706836663515,-0.253849408262494,0.05,0.025,1,2-3
0,0,False,0.9999999877189064,1.0,-6.061624147661958,-0.8594051368898995,0.05,0.025,0,1-2
1,1,False,0.8599243487243131,1.0,-1.0859204193987624,-0.1539596589875825,0.05,0.025,1,2-3
0,0,False,0.999999999995818,1.0,-7.746046746949088,-1.0982192565477726,0.05,0.025,0,1-2
1,1,False,0.6959529180960513,1.0,-0.5144353652742588,-0.0729356332139227,0.05,0.025,1,2-3
0,0,False,0.9999999366720438,1.0,-5.695028954356791,-0.8074299921744148,0.05,0.025,0,1-2
1,1,False,0.9999923646081657,1.0,-4.549673317681405,-0.6450437251036837,0.05,0.025,1,2-3
0,0,False,0.9999737772142456,0.9999737772142456,-4.228823680546944,-0.5995542952734009,0.05,0.025,0,1-2
1,1,False,0.4417748694828355,0.883549738965671,0.1468491267037087,0.0208199800519867,0.05,0.025,1,2-3
0,0,False,0.9999935156931437,1.0,-4.591170771052461,-0.6509271523380645,0.05,0.025,0,1-2
1,1,False,0.998596167580825,1.0,-3.0647222883037686,-0.4345102918868913,0.05,0.025,1,2-3
0,0,False,0.9999926361691518,1.0,-4.558888479459275,-0.6463502325967666,0.05,0.025,0,1-2
