,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
0,0,True,2.391433300762223e-63,9.565733203048892e-63,40.12405448554591,5.688709444485899,0.05,0.0125,0,1-2
1,1,True,1.3841188608849814e-46,4.152356582654944e-46,26.17585321302739,3.711160930759551,0.05,0.0125,1,2-3
2,2,False,0.9992454445511938,1.0,-3.263909810637218,-0.4627507066219035,0.05,0.0125,2,3-4
3,3,False,0.9999996054013404,1.0,-5.272972691448115,-0.7475916862081542,0.05,0.0125,3,4-5
0,0,True,5.988251030119261e-47,1.7964753090357787e-46,26.42995196215933,3.747186551115031,0.05,0.0125,0,1-2
1,1,True,6.937482339524541e-50,2.7749929358098163e-49,28.54989530520279,4.047747944323454,0.05,0.0125,1,2-3
2,2,False,0.9999994779456948,1.0,-5.206956407805484,-0.7382320274931312,0.05,0.0125,2,3-4
3,3,False,0.9982252822263008,1.0,-2.9871852111137147,-0.4235172377460695,0.05,0.0125,3,4-5
0,0,True,3.5014989843681544e-69,1.4005995937472618e-68,46.28672688483717,6.562441003537335,0.05,0.0125,0,1-2
1,1,True,3.567107306533057e-36,1.0701321919599172e-35,19.61132925434628,2.7804556488256,0.05,0.0125,1,2-3
2,2,False,0.998568347153144,1.0,-3.058283561154249,-0.4335974218288783,0.05,0.0125,2,3-4
3,3,False,0.923047599327397,1.0,-1.4368806541205266,-0.2037181100588694,0.05,0.0125,3,4-5
0,0,True,5.875000515821617e-57,2.350000206328647e-56,34.21634685618616,4.851126288513795,0.05,0.0125,0,1-2
1,1,True,3.450069337115932e-55,1.0350208011347795e-54,32.71925123687356,4.638871019247574,0.05,0.0125,1,2-3
2,2,False,0.9954870492160016,1.0,-2.663588069340224,-0.3776382721176423,0.05,0.0125,2,3-4
3,3,False,0.9833491611047122,1.0,-2.158558131477318,-0.3060361218837026,0.05,0.0125,3,4-5
0,0,True,4.048740011823562e-58,1.6194960047294247e-57,35.23070715005986,4.994940293799564,0.05,0.0125,0,1-2
1,1,True,5.144416379809184e-52,1.5433249139427554e-51,30.16927395353202,4.277340260679915,0.05,0.0125,1,2-3
2,2,False,0.9997839455923526,1.0,-3.6423549590784514,-0.5164059146451367,0.05,0.0125,2,3-4
3,3,False,0.999999696636966,1.0,-5.334613067771037,-0.7563309373991371,0.05,0.0125,3,4-5
0,0,True,2.1600988531886174e-61,8.640395412754471e-61,38.22847789968977,5.419958328354534,0.05,0.0125,0,1-2
1,1,True,7.93760034285183e-37,2.381280102855549e-36,19.986823728168243,2.833692516010913,0.05,0.0125,1,2-3
2,2,False,0.9999963005061776,1.0,-4.732091944021141,-0.67090667878108,0.05,0.0125,2,3-4
3,3,False,0.9999530736703092,1.0,-4.072326033217455,-0.5773663669641173,0.05,0.0125,3,4-5
0,0,True,5.0317355328421e-53,2.01269421313684e-52,30.96222469688629,4.38976325582754,0.05,0.0125,0,1-2
1,1,True,3.0764337056261873e-47,9.22930111687856e-47,26.633265332954966,3.776011920521607,0.05,0.0125,1,2-3
2,2,False,0.9999784634353436,1.0,-4.280972567933091,-0.6069478618507735,0.05,0.0125,2,3-4
3,3,False,0.70658100550762,1.0,-0.5452061099588217,-0.0772982488106091,0.05,0.0125,3,4-5
0,0,True,3.0544905204260207e-51,1.2217962081704085e-50,29.572842474778383,4.192779379939491,0.05,0.0125,0,1-2
1,1,True,3.366808022966331e-51,1.2217962081704085e-50,29.540520154494985,4.188196785009308,0.05,0.0125,1,2-3
2,2,False,0.9999999999884306,1.0,-7.537733454235877,-1.068685008056098,0.05,0.0125,2,3-4
3,3,False,0.9999954536732106,1.0,-4.680610478790276,-0.6636077380027922,0.05,0.0125,3,4-5
0,0,True,9.757447427931007e-56,3.902978971172403e-55,33.17748902707969,4.7038390709160565,0.05,0.0125,0,1-2
